Division,District,Block,Block type
Agra,AGRA,ACHHNERA,RURAL
Agra,AGRA,AKOLA,RURAL
Agra,AGRA,BAAH,RURAL
Agra,AGRA,BARAULI AHIR,RURAL
Agra,AGRA,BICHPURI,RURAL
Agra,AGRA,ETMAADPUR,RURAL
Agra,AGRA,FATEHABAD,RURAL
Agra,AGRA,FATEHPUR SIKRI,RURAL
Agra,AGRA,JAGNER,RURAL
Agra,AGRA,JAITPUR KALAN,RURAL
Agra,AGRA,KHANDAULI,RURAL
Agra,AGRA,KHERAGARH,RURAL
Agra,AGRA,NAGAR KSHETRA AGRA,URBAN
Agra,AGRA,PINAHAT,RURAL
Agra,AGRA,SAIYAN,RURAL
Agra,AGRA,SHAMSABAD,RURAL
Aligarh,ALIGARH,AKRABAD,RURAL
Aligarh,ALIGARH,ATRAULI,RURAL
Aligarh,ALIGARH,BIJAULI,RURAL
Aligarh,ALIGARH,CHANDAUS,RURAL
Aligarh,ALIGARH,DHANIPUR,RURAL
Aligarh,ALIGARH,GANGIRI,RURAL
Aligarh,ALIGARH,GONDA,RURAL
Aligarh,ALIGARH,IGLAS,RURAL
Aligarh,ALIGARH,JAWAN,RURAL
Aligarh,ALIGARH,KHAIR,RURAL
Aligarh,ALIGARH,LODHA,RURAL
Aligarh,ALIGARH,NAGAR KSHETRA ALIGARH,URBAN
Aligarh,ALIGARH,TAPPAL,RURAL
Faizabad,AMBEDKAR NAGAR,AKBARPUR,RURAL
Faizabad,AMBEDKAR NAGAR,BASKHARI,RURAL
Faizabad,AMBEDKAR NAGAR,BHITI,RURAL
Faizabad,AMBEDKAR NAGAR,BHIYAON,RURAL
Faizabad,AMBEDKAR NAGAR,JAHAGEERGANJ,RURAL
Faizabad,AMBEDKAR NAGAR,JALALPUR,RURAL
Faizabad,AMBEDKAR NAGAR,KATEHARI,RURAL
Faizabad,AMBEDKAR NAGAR,,URBAN
Faizabad,AMBEDKAR NAGAR,RAMNAGAR,RURAL
Faizabad,AMBEDKAR NAGAR,TANDA,RURAL
Faizabad,AMETHI,AMETHI,RURAL
Faizabad,AMETHI,BHADAR,RURAL
Faizabad,AMETHI,BHADURPUR,RURAL
Faizabad,AMETHI,BHETUA,RURAL
Faizabad,AMETHI,GAURIGANJ,RURAL
Faizabad,AMETHI,JAGDISHPUR,RURAL
Faizabad,AMETHI,JAMO,RURAL
Faizabad,AMETHI,MUSAFIRKHANA,RURAL
Faizabad,AMETHI,NAGAR KSHETRA AMETHI,URBAN
Faizabad,AMETHI,SANGRAMPUR,RURAL
Faizabad,AMETHI,SHAHGARH,RURAL
Faizabad,AMETHI,SHUKUL BAZAR,RURAL
Faizabad,AMETHI,SINGHPUR,RURAL
Faizabad,AMETHI,TILOI,RURAL
Moradabad,AMROHA,AMROHA,RURAL
Moradabad,AMROHA,DHANAURA,RURAL
Moradabad,AMROHA,GAJRAULA,RURAL
Moradabad,AMROHA,GANGESWARI,RURAL
Moradabad,AMROHA,HASANPUR,RURAL
Moradabad,AMROHA,JOYA,RURAL
Moradabad,AMROHA,NAGAR KSHETRA AMROHA,URBAN
Kanpur,AURAIYA,ACHHALDA,RURAL
Kanpur,AURAIYA,AJEETMAL,RURAL
Kanpur,AURAIYA,AURAIYA,RURAL
Kanpur,AURAIYA,BHAGYANAGAR,RURAL
Kanpur,AURAIYA,BIDHUNA,RURAL
Kanpur,AURAIYA,ERWA KATRA,RURAL
Kanpur,AURAIYA,NAGAR KSHETRA AURAIYA,URBAN
Kanpur,AURAIYA,SAHAR,RURAL
Faizabad,AYODHYA,AMANIGANJ,RURAL
Faizabad,AYODHYA,BIKAPUR,RURAL
Faizabad,AYODHYA,HARINGTONGANJ,RURAL
Faizabad,AYODHYA,MASODHA,RURAL
Faizabad,AYODHYA,MAWAI,RURAL
Faizabad,AYODHYA,MAYA BAZAR,RURAL
Faizabad,AYODHYA,MILKIPUR,RURAL
Faizabad,AYODHYA,NAGAR KSHETRA AYODHYA,URBAN
Faizabad,AYODHYA,POORA BAZAR,RURAL
Faizabad,AYODHYA,RUDAULI,RURAL
Faizabad,AYODHYA,SOHAWAL,RURAL
Faizabad,AYODHYA,TARUN,RURAL
Azamgarh,AZAMGARH,AHIRAULA,RURAL
Azamgarh,AZAMGARH,ATRAULIYA,RURAL
Azamgarh,AZAMGARH,AZMATGARH,RURAL
Azamgarh,AZAMGARH,BILARIYAGANJ,RURAL
Azamgarh,AZAMGARH,HARAIYA,RURAL
Azamgarh,AZAMGARH,JAHANAGANJ,RURAL
Azamgarh,AZAMGARH,KOYALSA,RURAL
Azamgarh,AZAMGARH,LALGANJ,RURAL
Azamgarh,AZAMGARH,MAHRAJGANJ,RURAL
Azamgarh,AZAMGARH,MARTINGANJ,RURAL
Azamgarh,AZAMGARH,MEHNAGAR,RURAL
Azamgarh,AZAMGARH,MIRZAPUR AZAMGARH,RURAL
Azamgarh,AZAMGARH,MUHAMMADPUR,RURAL
Azamgarh,AZAMGARH,NAGAR KSHETRA AZAMGARH,URBAN
Azamgarh,AZAMGARH,PALHANA,RURAL
Azamgarh,AZAMGARH,PALHANI,RURAL
Azamgarh,AZAMGARH,PAWAI,RURAL
Azamgarh,AZAMGARH,PHULPUR,RURAL
Azamgarh,AZAMGARH,RANI KA SARAI,RURAL
Azamgarh,AZAMGARH,SATHIYAON,RURAL
Azamgarh,AZAMGARH,TAHBARPUR,RURAL
Azamgarh,AZAMGARH,TARWA,RURAL
Azamgarh,AZAMGARH,THEKMA,RURAL
Meerut,BAGHPAT,BADAUT,RURAL
Meerut,BAGHPAT,BAGHPAT,RURAL
Meerut,BAGHPAT,BINAULI,RURAL
Meerut,BAGHPAT,CHHAPRAULI,RURAL
Meerut,BAGHPAT,KHEKRA,RURAL
Meerut,BAGHPAT,NAGAR KSHETRA BAGHPAT,URBAN
Meerut,BAGHPAT,PILANA,RURAL
Devipatan,BAHRAICH,BALHA,RURAL
Devipatan,BAHRAICH,CHITTAURA,RURAL
Devipatan,BAHRAICH,FAKHARPUR,RURAL
Devipatan,BAHRAICH,HUZURPUR,RURAL
Devipatan,BAHRAICH,JARWAL,RURAL
Devipatan,BAHRAICH,KAISARGANJ,RURAL
Devipatan,BAHRAICH,MAHASI,RURAL
Devipatan,BAHRAICH,MIHINPURWA,RURAL
Devipatan,BAHRAICH,NAGAR KSHETRA BAHRAICH,URBAN
Devipatan,BAHRAICH,NAWABGANJ,RURAL
Devipatan,BAHRAICH,PAYAGPUR,RURAL
Devipatan,BAHRAICH,RISIA,RURAL
Devipatan,BAHRAICH,SHIVPUR,RURAL
Devipatan,BAHRAICH,TEJWAPUR,RURAL
Devipatan,BAHRAICH,VISHESWARGANJ,RURAL
Azamgarh,BALLIA,BAIRIYA,RURAL
Azamgarh,BALLIA,BANSDEEH,RURAL
Azamgarh,BALLIA,BELHARI,RURAL
Azamgarh,BALLIA,BERUARBARI,RURAL
Azamgarh,BALLIA,CHILKAHAR,RURAL
Azamgarh,BALLIA,DUBHAD,RURAL
Azamgarh,BALLIA,GADVAR,RURAL
Azamgarh,BALLIA,HANUMANGANJ,RURAL
Azamgarh,BALLIA,MANIYAR,RURAL
Azamgarh,BALLIA,MURLI CHAPRA,RURAL
Azamgarh,BALLIA,NAGAR KSHETRA BALLIA,URBAN
Azamgarh,BALLIA,NAGARA,RURAL
Azamgarh,BALLIA,NAVANAGAR,RURAL
Azamgarh,BALLIA,PANDAH,RURAL
Azamgarh,BALLIA,RASARA,RURAL
Azamgarh,BALLIA,REVTI,RURAL
Azamgarh,BALLIA,SIYAR,RURAL
Azamgarh,BALLIA,SOHANV,RURAL
Devipatan,BALRAMPUR,BALRAMPUR,RURAL
Devipatan,BALRAMPUR,GAINDASS BUJURG,RURAL
Devipatan,BALRAMPUR,GAISADI,RURAL
Devipatan,BALRAMPUR,HARAIYA SATGHARWA,RURAL
Devipatan,BALRAMPUR,NAGAR KSHETRA BALRAMPUR,URBAN
Devipatan,BALRAMPUR,PACHPEDWA,RURAL
Devipatan,BALRAMPUR,REHRA BAZAR,RURAL
Devipatan,BALRAMPUR,SHRIDATTGANJ,RURAL
Devipatan,BALRAMPUR,TULSIPUR,RURAL
Devipatan,BALRAMPUR,UTRAULA,RURAL
Chitrakoot,BANDA,BABERU,RURAL
Chitrakoot,BANDA,BADODAR KHURD,RURAL
Chitrakoot,BANDA,BISANDA,RURAL
Chitrakoot,BANDA,JASPURA,RURAL
Chitrakoot,BANDA,KAMASIN,RURAL
Chitrakoot,BANDA,MAHUA,RURAL
Chitrakoot,BANDA,NAGAR KSHETRA BANDA,URBAN
Chitrakoot,BANDA,NARAINI,RURAL
Chitrakoot,BANDA,TINDWARI,RURAL
Faizabad,BARABANKI,BANIKODAR,RURAL
Faizabad,BARABANKI,BANKI,RURAL
Faizabad,BARABANKI,DARIYABAAD,RURAL
Faizabad,BARABANKI,DEWA,RURAL
Faizabad,BARABANKI,FATEHPUR,RURAL
Faizabad,BARABANKI,HAIDERGARH,RURAL
Faizabad,BARABANKI,HARAKH,RURAL
Faizabad,BARABANKI,MASAULI,RURAL
Faizabad,BARABANKI,NAGAR KSHETRA BARABANKI,URBAN
Faizabad,BARABANKI,NINDURA,RURAL
Faizabad,BARABANKI,PUREDALAI,RURAL
Faizabad,BARABANKI,RAMNAGAR BARABANKI,RURAL
Faizabad,BARABANKI,SIDDHAUR,RURAL
Faizabad,BARABANKI,SIRAULIGAUSPUR,RURAL
Faizabad,BARABANKI,SURATGANJ,RURAL
Faizabad,BARABANKI,TRIVEDIGANJ,RURAL
Bareilly,BAREILLY,ALAMPUR JAFRABAD,RURAL
Bareilly,BAREILLY,BAHEDI,RURAL
Bareilly,BAREILLY,BHADPURA,RURAL
Bareilly,BAREILLY,BHOJIPURA,RURAL
Bareilly,BAREILLY,BHUTA,RURAL
Bareilly,BAREILLY,BITHARI CHAINPUR,RURAL
Bareilly,BAREILLY,DAMKHODA,RURAL
Bareilly,BAREILLY,FARIDPUR,RURAL
Bareilly,BAREILLY,FATEHGANJ PASCHIM,RURAL
Bareilly,BAREILLY,KYARA,RURAL
Bareilly,BAREILLY,MAJHGANWA,RURAL
Bareilly,BAREILLY,MEERGANJ,RURAL
Bareilly,BAREILLY,NABABGANJ,RURAL
Bareilly,BAREILLY,NAGAR KSHETRA BAREILLY,URBAN
Bareilly,BAREILLY,RAMNAGAR BAREILLY,RURAL
Bareilly,BAREILLY,SHERGARH,RURAL
Basti,BASTI,BAHADURPUR,RURAL
Basti,BASTI,BANKATI,RURAL
Basti,BASTI,BASTI SADAR,RURAL
Basti,BASTI,DUBAULIA,RURAL
Basti,BASTI,GAUR,RURAL
Basti,BASTI,HARAIYA BASTI,RURAL
Basti,BASTI,KAPTANGANJ,RURAL
Basti,BASTI,KUDRAHA,RURAL
Basti,BASTI,NAGAR KSHETRA BASTI,URBAN
Basti,BASTI,PARASHURAMPUR,RURAL
Basti,BASTI,RAMNAGAR,RURAL
Basti,BASTI,RUDHAULI,RURAL
Basti,BASTI,SALTAUA GOPALPUR,RURAL
Basti,BASTI,SAU GHAT,RURAL
Basti,BASTI,VIKRAMJOT,RURAL
Vindhyachal,BHADOHI,ABHOLI,RURAL
Vindhyachal,BHADOHI,AURAI,RURAL
Vindhyachal,BHADOHI,BHADOHI,RURAL
Vindhyachal,BHADOHI,DIGH,RURAL
Vindhyachal,BHADOHI,GYANPUR,RURAL
Vindhyachal,BHADOHI,NAGAR KSHETRA BHADOHI,URBAN
Vindhyachal,BHADOHI,SURIYAWAN,RURAL
Moradabad,BIJNOR,AFJALGARH,RURAL
Moradabad,BIJNOR,ALLHEPUR,RURAL
Moradabad,BIJNOR,HALDAUR,RURAL
Moradabad,BIJNOR,JALILPUR,RURAL
Moradabad,BIJNOR,KIRATPUR,RURAL
Moradabad,BIJNOR,KOTWALI,RURAL
Moradabad,BIJNOR,MOHAMADPUR DEOMAL,RURAL
Moradabad,BIJNOR,NAGAR KSHETRA BIJNOR,URBAN
Moradabad,BIJNOR,NAJIBABAD,RURAL
Moradabad,BIJNOR,NEHTAUR,RURAL
Moradabad,BIJNOR,NOORPUR,RURAL
Moradabad,BIJNOR,SEOHARA,RURAL
Bareilly,BUDAUN,AASAFPUR,RURAL
Bareilly,BUDAUN,AMBIYAPUR,RURAL
Bareilly,BUDAUN,BILSAULI,RURAL
Bareilly,BUDAUN,DAHGAWA,RURAL
Bareilly,BUDAUN,DATAGANJ,RURAL
Bareilly,BUDAUN,ISLAMNAGAR,RURAL
Bareilly,BUDAUN,JAGAT,RURAL
Bareilly,BUDAUN,MION,RURAL
Bareilly,BUDAUN,NAGAR KSHETRA BUDAUN,URBAN
Bareilly,BUDAUN,QADAR CHOWK,RURAL
Bareilly,BUDAUN,SAHASWAN,RURAL
Bareilly,BUDAUN,SALARPUR,RURAL
Bareilly,BUDAUN,SAMRER,RURAL
Bareilly,BUDAUN,UJHANI,RURAL
Bareilly,BUDAUN,USAWAN,RURAL
Bareilly,BUDAUN,WAZIRGANJ,RURAL
Meerut,BULANDSHAHAR,AGAUTA,RURAL
Meerut,BULANDSHAHAR,ANUPSHAHR,RURAL
Meerut,BULANDSHAHAR,ARANIYA,RURAL
